	평점	일시	감상평
286	8	2020.01.01 16:14	내용은딱히없으나 영상미개쩜
287	8	2020.01.01 22:17	집에서 보면 재미 없을 듯. 영화관에서 봐야 하는 영화. 절대 미쿡 입장에서만 쓴 미쿡 미화 영화 아님. 오히려 왜구들 변명을 대변해 왜구들 미화한 부분도 있는 거 같아, 별점 깎았음. 진주만 폭격이 미쿡의 제재 때문이라는 건 일본의 변명이고, 난징 대학살은 왜구들이 그만큼 잔인해서 그런 거지. 하여간 미쿡의 반중 패권 때문에, 미국이 일본의 허물 다 덮어주고 편 먹는 현실이 여기서도 잘 드러나네. 
288	10	2020.01.06 03:34	베스트 ㅠㅠ너무 멋있어요 특히 마지막 전투에서 머레이랑 같이 일본 모함에 미사일 발사할때 빨간 동그라미를 정통으로 맞췄을때의 쾌감이란.. 갓 베스트
289	10	2020.01.05 23:34	심장이 뛰는 영화미친 것 같다
290	10	2020.01.05 23:33	오늘 아침 봤는데 처음부터 끝날때까지  이렇게 긴장감있게 본영화른 정말 오랜만이었습니다.정말 잘 만든영화입니다.
291	10	2020.01.05 23:07	어줍잖은 억지국뽕억지감동이 아닌,  당시의 긴박했던 순간을 잘 그려내서 역사책 한줄로 기억될뻔 했던 전투를 생생하게 보여준거같다. 비록 적군이긴해도 일본의 모습을 형편없게 그려내지않고 그들 내면의 고뇌와 응전도 보여줘 미드웨이해전의 치열함을 느낄수 있었다. 어디허섭OOO 국뽕영화는 다사 안볼거같다.후대에도 손에꼽힐 진정한 레알 밀리터리 역사영화로 기억될 대작이다. 
292	10	2020.01.05 22:43	액션, 휴머니즘, 가족애, 임무와 두려움사이의 내적갈등 모든게 완벽한 영화... 몰입도 오집니다. 돈이 안아까운 현재 상영작중 최고의 명작입니다
293	10	2020.01.05 21:10	흔히들 세계대전 공중전하면 개틀링건같은걸로 주로하는데 공중에서 낙하하며 목숨을걸고 포탄속으로 뛰어들며 포탄을 던지는모습이 매우인상적이었다. 미드웨이해전에 패햇더라도 미국이 일본에 쉽사리 패망하진않았겠지만 전쟁은 길어졋을것이다. 얼마나 중요한 역사적 해전이었는지 잘 보여준 연기도 인상깊은 좋은작품이었다. 
294	10	2020.01.05 15:58	평소 전쟁영화를 좋아하는편이라 별기대없이 편하게봤는데 생각외로 수작이네요적극추천합니다
295	9	2020.01.05 04:55	인천상륙작전 장사리 같은 영화보다 몇 배이상 잘 만든 영화! 반드시 극장 관람 강추 !!
296	10	2020.01.05 01:55	장말  전쟁터에서 싸우고온 기분입니다~ 정말 실감나고 강추입니다~
297	10	2020.01.05 01:28	선빵엔 속수무책이구나 느꼈지요 군사력을 키워야 하는 중요성도 느낀영화 올해 본영화중. 최고 아직 1월이구먼...
298	6	2020.01.04 23:20	한미동맹이 답이고 대한민국은 해양세력과 강력한 동맹을 맺어야 한다!!
299	10	2020.01.04 23:02	일본 쳐 맞는 영화는 언제느 재밌다
300	10	2020.01.03 22:46	일본 항모 피격될때 쾌감 쩔었음 ㅋㅋ
301	9	2020.01.03 14:17	미드웨이에서의 승리를 만들어 낸 모두가 영웅이었다
302	10	2020.01.03 05:23	아니 세세한 부분까지 이렇게 고증이 잘 되어있다니..바다에 떠있던 조지 게이 / AF에 식수가 부족하다 / 두리틀폭격대 / 각 항공대 공격규모 기타 등등 이루 말할 수 없을정도다. 이건 영화가 아니라 다큐멘터리. 최고다. 
303	10	2020.01.02 23:51	이걸 보고 아직 한국영화는 갈 길이 멀었다 느꼈다. 진주만 공습을 당하고 미드웨이 해전을 겪으며 아직도 세계 평화를 위해 각국에 파견중인 미군 장병들에게 경의를 표 합니다.
304	10	2020.01.02 15:51	스케일이 일반상영관에서 볼게 아니던데..논아이맥스 몇 타임이라도 상영해주지
305	10	2020.01.02 12:21	역사가 스포일러지만 공중전은 늘 짜릿함
306	10	2020.01.02 08:15	보기전에 나무위키에서 미드웨이 해전 문서 한번만 읽고 가시면 진짜 재밌어요!
307	10	2020.01.02 07:42	역시 훌륭하다 이미 아는 실화이지만 더욱 재밌다
308	10	2020.01.01 23:46	일본놈들의 야욕이 전 세계에 알려지는구만~
309	10	2020.01.01 23:00	세계대전 영화는 대부분 대작인데 역시대작이다. 최든본영화중 최고다.
310	10	2020.01.01 23:00	C.G나 스토리의 완성도가 높고 ,역사적 사실을 바탕으로 제작되어 계속적인 긴장감이  이어지는 재미있는 영화였습니다.^^
311	10	2020.01.01 22:17	볼영화 없어서 생각없이 선택한 영화가 이렇게 감동을(여자가 봐도 잼잼)
312	10	2020.01.01 22:02	진짜 진짜진짜재밌음 후회안함 ㄹㅇ
313	10	2020.01.01 22:01	말이 급강하 폭격이지 가미가제랑 살짝 다른 항모향해 돌진을 조종사 시점에서 볼수 있는 눈호강 영화다. 유튜브나 인터넷 OO서 미드웨이 전투 선행 학습하고 가면 재미는 두배.
314	10	2020.01.01 19:43	진주만 보다 더 높게 평가한다. 고증도 잘되었고 진주만 >두리틀>미드웨이 순대로 잘 진행된 작품 벌써 교차상영하던데... 대형배급사였으면 하는 아쉬움이 든다.
315	10	2020.01.01 19:39	전쟁영화 많이 안보는데도 몰입감 좋고 스토리도 좋아요 압도적인건 기술적인 영상미고요 엄마 특히 전쟁영화 안보는데도 끝까지 잘보셧어요ㅋㅋ
316	10	2020.01.01 16:42	최고의영화입니다!!미드웨이상영관좀늘려라
317	10	2020.01.01 14:10	오랜만에 극장서 돈  내고 볼 만한 영화
318	10	2020.01.01 11:22	진주만과 비견할만한 뛰어난 영화!
319	8	2019.12.31 15:58	전투씬은 정말 볼만해요. 이런 영화는 극장에서 봐야 재밌음
320	10	2020.01.12 22:46	재미있게보았습니다. 만약미국이 이전투를 졌다면 아직도 우린 일본에 식민지일지도 모른다는 생각이드네요.
321	10	2020.01.12 20:09	2시간10분동안 2차세계대전 참전한기분이다 우리나라 평론가들 진심 반성좀하시길..
322	10	2020.01.09 16:36	이렇게 멋진 공중전 영화가 있었던가?
323	10	2020.01.09 08:21	지금까지 나온 해전 영화들 중에 이렇게까지 연출한 영화가 있었나? 내가 급강하폭격기 탄 줄 알았다
324	10	2020.01.06 02:55	노 멜로 노 감성 노 억지 노 미뽕. 담백한 전쟁영화
325	8	2020.01.05 22:06	일본 항모 박살낼때 그 통쾌함이란!!!
326	10	2020.01.04 22:47	액션영화나 전쟁영화를 싫어하지만 이 영화는 정말 수작이라고 일컬어주고 싶다.액션영화에 늘 등장하는 영웅 위주의 스토리는 존재하지 않으며 전쟁이나 전투 장면의 미화조차 없다.담담하고 담백하게 풀어낸 실화 기반의 스토리와 대사들, 그리고 전쟁이 누군가만의 일이 아닌 우리 모두의 일이 될 수 있음을 알려주는 지극히 현실적인 영화.마치 미드웨이에 있는 것 마냥 상영 내내 긴장하며 집중했으나 일본 폭격기에 있던 군인 중 조선인도 대다수 있었으리라는 생각에 가슴이 너무나도 먹먹했던 영화이다. 
327	9	2020.01.03 17:52	우장한 스케일의 영화입니다
328	10	2020.01.03 04:13	평론가들 한심ㅋㅋ지들이 무슨평론가ㅋㅋㅋㅋ정치색에 맞춰서 악플만 다는 악플러지ㅋㅋㅋ
329	10	2020.01.01 20:49	좉두산 보고 걸린 암을 미드웨이 보고 완치했습니다^^
330	9	2020.01.01 14:27	이런것이진정 영화백두산과 천문에 영화 몰빵하지말고 상영관을 늘려달라
331	10	2020.01.01 02:18	2019년 마지막 날 11시 30분부터 2020년 첫 날 1시 반까지 두시간을 미드웨이로 불태웠지만 후회는 없다ㅠㅠㅠ 보면서 너무 속시원했고 고증 잘못된 역사 영화는 절대 안 보는 부모님도 흡족해할 정도로 고증 잘 됨. 진짜 너무 재밌었다ㅠㅠㅠㅠ 상영관 좀 늘려줘요 제발... 
332	10	2020.01.13 11:08	이 영화의 관람객이 왜이리 저조할까요?정말 멋진 영상 및 현실감에 눈을 한시도 뗄 수가 없었습니다.정말 잘 보았습니다.
333	10	2020.01.12 23:41	연출이 진짜 개굿...백두산 볼돈으로 그냥 미드웨이나 보고 끝낼걸 하,,진심 이거 왤케 스크린이 적은지 이해가 안감 개띵작임..ㄹㅇ로
334	10	2020.01.04 04:50	전쟁영화를 보면서 예술성 어쩌구 게소리 해대는 영화평론 하는 넘들이 있던데.... 전쟁영화는 스케일, 영상미, 몰입도 이 세가지만 만족시켜주면 돼.  이제 것 본 전쟁영화중 수작 3편만 뽑으라면 라인언일병 구하기, 밴드 오브 브라더스 그리고.... 미드웨이 ! 
335	1	2020.01.04 01:21	일본을 너무 멋있게 그려놨다. 이걸본 외국사람들이 일본 멋있다고 할 생각을 하니 마음이 아프다. 그당시의 일본의 비열함도 있는 그대로 표현했으면 좋았을 것을..
336	10	2020.01.25 16:21	미국은 이영화를 보고 과거를 기억하고 일본이 또다시 칼자루를 쥐게하는 실수를 반복해선 안될것이다.
337	9	2020.01.18 01:34	영화 시작부터 끝까지 화려한 전쟁 영상의 몰입감이 꽤 높다. 괜한 잡스러운 이야기가 나오지 않고, 중립적인 입장에서 전쟁 실화에 몰두한 연출도 매우 좋다.
338	9	2020.01.15 00:12	해상과 공중 전쟁씬이 볼만하네요.이런건 극장에서 봐야 실감날듯
339	8	2020.01.13 11:34	영화관에서 볼만한 영화.
340	9	2020.01.11 13:32	생각보다 너무 괜찮아서 오늘 두번 보러감! 공중전 액션이 끝내줍니다!! 스토리가 끊기고 지루하다는 평이 있었는데 막상 보고나니 말이 안됨. 그 복잡한 전쟁사를 2시간10분에 압축한게 이정도면 꽤 선방한거임. 팩트에 입각해서 픽션을 최소화한 것도 맘에 듬. 전쟁영화 마니아는 싫어할 수가 없음. 
341	9	2020.01.09 20:28	과장 섞어서 대한민국을 만들어낸 해전
342	9	2020.01.08 16:27	공중전을 이정도로 표현한 전쟁영화가 잇엇던가?
343	10	2020.01.06 16:03	고증 확실하고 볼거리 충분하고!
344	9	2020.01.06 02:27	볼만한영화입니다~추천 미국의도움이없었다면..대한민국이있었을지
345	10	2020.01.06 02:04	역사공부 살짝하고 보면 빅잼손을 꽉쥐고 보는 영화
346	10	2020.01.06 01:03	개같은 OOO 한국영화 처없애고 이런 블럭버스터 영화를 정정당당하게 흥행을 겨루어야한다..한국영화 억지 상영 스크린쿼터 독점 하루빨리 사라져야한다
347	8	2020.01.05 23:10	현 시국에 백두산 보다는 좀 더 가치있게 평가될 영화라는 생각과 함께단순 선전물이 아닌 현 상황에 요구되는 바람직한 당시 시대정신을 계승 할 수 있는 영화이다.
348	10	2020.01.05 22:41	개꿀잼. 28년 평생 최고의 영화입니다
349	10	2020.01.05 22:18	미국 파일럿 대단하다~ 너무 재미있게 보았습니다
350	10	2020.01.05 22:16	최고입니다 정말.. 지루하다는 분들 있는데 저는 전혀 지루함 못 느끼고 봤어요. 고민하시는 분들 꼭 영화관 가서 보시길 추천해요
351	10	2020.01.05 22:14	보는동안 여자친구가 자꾸 만져서 너무 재밌게 봤습니다.
352	10	2020.01.05 22:01	그냥 최곤데, 왜 백두산 봄? 미드웨이가 여자인나도 멋지고 좋았음
353	10	2020.01.05 21:37	극한직업같은 영화가 아니라 이런 영화가 1000만을 가야 된다 ^^ 미드웨이 해전이 아니었음 영원히 일본에게 고통받았을듯...
354	10	2020.01.05 16:31	겨울왕국, 백두산, 미드웨이 보고나서 다시 보고 싶은 영화는 미드웨이..  왠만한 영화는 시시해지게 만드는 영화..
355	10	2020.01.05 12:07	급강하폭격장면은 진짜 현장에있는거같음
356	8	2020.01.05 10:44	마지막 미드웨이 신이 압도적이었음1940년초반 미국뇌격기어뢰도 문제많았다는걸 처음알게되었고 밀덕분들은 한번쯤 봐야될  영화임그리고2000년 초중반  진주만이란 게임 정말 잘만들었다는게 느껴졌음
357	10	2020.01.05 10:26	전혀 지루하지 않고 너무 좋았습니다.최근 본 영화중에 제일 재밌게 봤어요
358	10	2020.01.05 10:20	이 영화는 확실히 극장에서봐야한다. 스케일이 장난아님.
359	8	2020.01.05 10:06	일본군국주의 관련 책 중 태평양 전쟁 부분을 읽고 있어서 무엇보다 관람하고 싶었습니다. 감독 특성상 실감나는 전투장면에 치중할 수밖에 없는데 거기에 상세한 전황을 이해시키고 제대로 된 전쟁 드라마를 넣으면 3부작으로 갈 수 밖에 없는 터라 스토리 비판은 빈약해 보입니다. 다만 그렇다 해도 회의장면이 천편일률적으로 너무 메시지만 전달하고 짧게 끝나니 책읽는 입장에서도 진행을 따라가기가.. 전투장면의 스펙터클 실감은 수퍼플렉스 스크린이 진리구요 그래도 CG의 한계가 자꾸 보이는 건 제 눈에만 그런 걸로. 전쟁에 대한 배경지식 없이 보셔도 충분하지만 당시 제국주의 경쟁에서 서구열강에 끼고 싶었던 한 아시아 국가의 열등감, 원유 80%를 의존하던 미국의 경멸과 압박이 원자재 확보를 위해 동남아시아로의 진격으로 내몬 측면, 일본 내부에서조차 암살과 격론 등으로 수뇌진이 전쟁에 대해 사분오열되어  있었던 점, 전쟁 초기 미국의 태평양 전력은 너무나 한심한 수준이었던 점 등 지식 정도는 알고 있으면 요긴할 듯합니다. 
360	8	2020.01.05 03:53	평 안좋아서 안볼려다가 백두산보기싫어서 봤는데 재미있는걸? 가슴이 뛰더라 진짜 저해전땜에 우리나라도 독립한건데 우리나라는 빨갱이들하고 싸우고있으니
361	10	2020.01.05 03:48	살면서 처음 댓글 남겨봅니다.기대를 하고 관람 했는데 모든 것이 기대 이상이였던 최고의 작품 내 국적이 미국인 이라면 눈물 흘리고 관람할 작품
362	10	2020.01.05 03:20	진짜 미쳤냐... 와 오랫만에 정말 영화다운 영화를 봤다.... 이게영화지... 하.... 진짜 그리고 또 드는생각 일본은 ㅈㄹㅂ안하는데가 없네 나쁜일에는 다 껴있고 난리 그거보고 한번 더 열받았다
363	10	2020.01.05 02:36	와.... 특수효과 죽이고 진짜 손에 땀이 나도록 봤다...  기억 속에 오래 남을 명작이다
364	10	2020.01.05 01:45	진짜 영화보는 내내 와씨.. 소리가 절로 나왔네요. 역사서 한페이지 있는게 우연에 우연이 겹쳐서 씌여진거란 걸 느꼈습니다. 감독이 최대한 실제처럼 찍으려 노력했다는게 빈말이 아닌 것 같습니다. 오랜만에 좋은영화 잘 감상했습니다! 
365	9	2020.01.05 01:29	아베에게 열번 보여주고 싶다.
366	10	2020.01.05 01:15	기대하지 않고 억지로 본 영화, 나올때는 그 어떤 영화보다 입에 침이 마르도록 칭찬하면서 박수치며 나옴 진심으로 안보면 땅치고 후회함ㅠ
367	10	2020.01.04 23:52	약간 잔잔한 느낌 ... 난 미일 해전을 볼때마다 항공모함에 진짜 놀람 ... 본격 항공모함의 시대의 문을연 일본의 패기에 무릎딱치고....총을 미국을 향해 거누는 그들의 객기에 감탄했다.. 나쁜 샠이들이지만 그때 일본은 무시할수없는 아시아 최강국이었다.... 
368	10	2020.01.04 23:50	정말재밌었네요. 군인영웅들을 위해 영화까지 만들어주는 천조국이 부럽습니다. 백두산 보고 이거보니깐 다시한번 한국영화의 수준이 저급하다고 느꼈네요
369	10	2020.01.04 23:50	몇 달 동안의 영화 선택 실패했는데 이 영화 보려고 그랬나보네요  진짜 연기도 백점 스토리 집중도 백점 ! 미간에 주름 백개 생기고 안나던 땀도 나고 안하던 욕도 하게 되는 영화!
370	10	2020.01.04 23:49	띵작임.
371	9	2020.01.04 23:46	개인적으로는 뻔한 한국영화보다 끝까지 긴장하면서 볼 수 있어서 좋았다. 포드vs페라리 후 재밌었던 영화!! 속 시원했다
372	10	2020.01.04 22:25	용산cgv에서 지금 막 보고왔어요.전쟁사나 역사관련 영화를 좋아해서 보고왔는데..(참고로 여자에요). 전쟁사에 대해서 조금 알고가면 내용에 대한 이해가 훨씬 쉬워요. 액션이나 영상미도 최고에요. 감히... 인터스텔라 볼때와 같은 전율을 느끼면서 감상했네요. 잡다한 내용 전혀없이.. 베이스만 콕콕 간추려서 완벽한 한편을 만든 느낌이였어요. 전쟁실화를 바탕으로 만든 영화인만큼 엔딩부분에 실제인물들 사진솨 간략한 내용들이 나오는데.. 실제모습과 연기자들의 싱크로율 소름돋아요.. 많은 군인들의 희생도 안타깝고, 전쟁으로 인하여 민간인들의 무고한 죽음도 마음이 아픕니다.. 그런 아픔을 겪고 겪어서 지금의 세상이 만들어졌지만 아직도 어떤곳에선 전쟁이 지속되고 있다는 사실이 슬프네요.. 전쟁없는 평화로운 세상이 되었으면 하는 바램으로.. 영화감상 잘 했습니다. 후회 안드는 영화에요. 
373	10	2020.01.04 21:42	조마조마 하면서 봐써요추천드립니다 꼭보세요~~
374	10	2020.01.04 21:31	영화 시작 10분만에 진주만 박살나는 장면과 마지막 함대전은 정말 최고였다. 눈호강하고왔어요
375	10	2020.01.04 21:16	대단한 영화 입니다. 그냥 다큐멘타리식으로 잘 만들었네요. 역사적 고증(전사적 고증)이 정확하면서, 관객들이 지루하지 않게  시간, 날짜가 재빠르게 휘딱 지나가게 만드니 멋집니다. 한편의 전쟁 시뮬레이션 게임을 보는거 같았다는. ㅎㅎ 
376	10	2020.01.04 20:52	상영관 좀 늘려줬으면. 평소 전쟁영화 안좋아하는데 이건 꼭 봐야함. 몰랐던 역사도 알게되고 내 안의 반일 감정도 다시 활활 타오르게 됨. 강추합니다
377	10	2020.01.04 18:53	근데 전쟁영화나 재난영화는 스토리때문에 보는게 아니지않나ㅋㅋ 태극기휘날리며 보고 스토리구성 쓰레기네라고 할사람들이네ㅋㅋ
378	10	2020.01.04 18:43	와 영화끝났는데도 진짜 전쟁 참여했다가 온 기분... 너므 재밌으
379	8	2020.01.04 18:42	지난주에본 백두산보다 훨씬 볼만한 영화다.
380	9	2020.01.04 18:35	전투씬도 미쳤고 몰입감도 ㄹㅇ 영화만 보면 정말 좋다. 한가지 아쉬웠던건 중간에 싱크 한번 안맞는 점이 있었단거..(일본어부분) 그것땜에 자막이 느려진 부분이 있다. 그거빼고 영화 내용과 퀄리티만 보자면 최고다.
381	10	2020.01.04 18:13	평점 높은것은 이유가 있는거임 꼭보세요 재미있어요백두산보단 천배가 좋아요
382	10	2020.01.04 17:23	미국과 일본의 차이를 아주 잘 드러냄. 결국 자기보다 낮은 위치에 있는 사람의 말에 귀기울인 미국의 승리.
383	10	2020.01.04 17:11	오랜만에 괜찮은 전쟁영화를 받네요. 몰입감 정말 좋구요 목숨을 버리며까지 나라를.동료들울 사랑했던 군인들의 용기를 본받을만했습니다^^ 강추요♡
384	10	2020.01.04 12:40	유튜브에서 과거 미드웨이에 대한 배경을 한 번 보시고 영화를 보시면 장면장면 이해가 빠르게 되실겁니다. 영화 재밌어요~
385	10	2020.01.04 03:40	와씨.. 12시반부터 재미없으면 자야겠다..했는데 새벽 3시 끝날 때까지 한 순간도 눈 못 뗐음 ㅠ 핵잼
386	9	2020.01.04 02:24	역대 전쟁영화 해전중 으뜸이엇다.백두산안보고 이걸 보길 잘햇다.몰입감쩐다.상영관 늘려라.
387	9	2020.01.04 02:01	백두산은 비디오용 이영화는 무조건 극장용
388	10	2020.01.03 22:16	여자도 아주 만족스럽게 본 영화입니다. 그리고 딕베스트한테 치이네요. 딕베스트 진짜 존멋임.
389	10	2020.01.03 22:10	무조건스크린큰곳에서
390	10	2020.01.03 21:47	진짜 백두산 보가 훨씬 재밌습니다 근래나온 전쟁영화중 가장재밌었네요 진짜 강추합니다 !!!!
391	10	2020.01.03 20:39	인터스텔라 이후 간만에 나온 최고의영화 역사에 관심있는 분들은 놓치지말길 진주만 등에서 일본군이 실수하지않았다면 우리의 독립은 언제가 됐을지 모른다는 무서움마저 들었다 실화를 바탕으로 철저한 고증이 이 영화를 더 가치있게 만듭니다 
392	10	2020.01.03 19:45	폭격 장면이 정말 실감 나고 영웅적인 대사와 장면도 좋았음.
393	9	2020.01.03 10:21	덩케르크에서 조금 실망했었는데 와 하는 정도는아니지만 전쟁영화치고는 꽤 괜찮은 영화입니다 추천합니다 백두산같은 쓰레기볼바엔 미드추천
394	10	2020.01.03 09:45	덩케르크에서 조금 실망했었는데 와 하는 정도는아니지만 전쟁영화치고는 꽤 괜찮은 영화입니다 추천합니다 백두산같은 쓰레기볼바엔 미드추천
395	10	2020.01.02 22:17	역사적 내용을 바탕으로 실감나게 표현한 점이 보기 좋았습니다
396	10	2020.01.02 20:02	박평식 4점 이 인간아. 진짜 정신 언제 차릴래.
397	10	2020.01.02 20:00	미드웨이 해전이 이렇게 치열했던 줄 몰랐음. 전쟁의 승패가 바뀌었더라면 역사 또한 어떻게 바꼈을까요? 너무 재미있고 감동까지 강추입니다
398	9	2020.01.02 00:15	잘만들었다.약간의 긴장감이 더있으면 좋았지만 완벽할 수 없음.포드앤 페라리 랑 미드웨이가 제일 재밋더라.영화 몰아보기도 좋네.암튼 영상.연기.내용. 다 재밋음 굿~~~!!
399	10	2020.01.01 11:21	액션은 말할것도 없고 고증에 충실해서 좋았습니다.무엇보다 태평양 전쟁을 모르는 사람도 이해하기 쉽습니다.강추개인적으로 미드웨이 해전으로 미국이 승기를 잡았고 대한민국이 광복할수 있었다고 생각해서 꼭 봤던것 같습니다. 
400	10	2020.01.01 10:30	최고의 역사 영화. 화산폭발 따위 한국 영화보다 수천배 낫다.
401	10	2020.01.01 09:35	올해본 영화중 단연최고!!
402	10	2020.01.01 08:52	개인적으로 갸만에 본 영화중 최고
403	10	2020.01.01 00:07	너무 재밌게봤다~ 상영관이 더 늘어났음 좋겠다감동 스릴 통쾌! 재밌으니 다들 보시길
404	10	2019.12.31 23:57	넘넘 재밌어요최근에 본 영화중 최고입니다~~~
405	10	2019.12.31 23:41	영화보는내내 긴장감이 장난 아닙니다..너무 재밌었어요
406	10	2019.12.31 23:28	역사적 사실을 잘 알고있으면 정말 재미있는 영화
407	10	2019.12.31 12:16	일본침몰 통쾌했다! 일본은 전쟁일으킨 역사 반성하고 사죄해라
408	4	2020.02.25 11:17	지루했다.  미국뽕 영화인 것은 처음부터 알았지만, 문제는 스토리 전개가 너무 지루했다는.. 비장미를 보여주려 했던 장면도 그다지 가슴에 와 닿는 부분도 없었고.. 1시간 30분쯤에 영화를 끊고 싶었지만, 나중에 못봐서 다시 보게 될까봐 결국 정주행 완료.. 그냥 시원시원한 화면이 유일한 장점인 영화 
409	10	2020.01.26 20:05	다운로드급 쓰레기같은 남산부장 백두산은 160원에 집관이 답이고 미드웨이같은 스케일명작은 상영관 만원도 안아깝다
410	10	2020.01.15 18:26	20대 초반 여자입니다. 전쟁영화 별로 좋아하지 않는데 남자친구가 꼭 보고싶대서 별 기대 안하고 따라갔다가 제가 더 흥분해서 나왔네요 ..지금껏 육지와 바다에서 전쟁하는 영화만 봐서 그런지 하늘에서 수 많은 총알이 왔다갔다 하는데 ㅠㅠ 정말 심장 떨리고 멋있으면서 막 설레고 하... 저 나중에 무조건 또 볼꺼에요ㅠㅠ 
411	10	2020.01.13 02:53	영상미가 진짜 대박이에요 역대급 전쟁영화입니다 꼭 보세요
412	10	2020.01.12 22:08	백두산 보다 잼있음 최고의 영상미와 액션신
413	10	2020.01.11 23:18	최근 이년 ㄷ능안 제일 재밌게 본 영화비행기 조종 씬을 몰입감있게 잘 찍었음또보고싶음너무재밌어서 내가 왜 공군을 안갔나 후회됨
414	10	2020.01.11 13:24	영화 보고 나와서 엘리베이터 기다리는데 꼬마아이가 지금까지 본 전쟁영화 중 최고였다며 극찬하는 모습이 정말 귀여웠네요 영화 같이 본 밀덕 친구도 아주 만족스러워했고 이쪽 분야는 하나도 모르던 저도 아주 재미있게 볼 수 있었습니다. 우선 실화 바탕이라 개연성에 문제가 되는 부분이 없던것이 좋았고 전쟁의 결과는 예상이 가더라도 그 과정과 주인공, 동료들의 생사여부를 예측하기 어려워 긴장감있게 본 것 같습니다. 공중에서 펼쳐지는 액션도 너무 좋았고 여러모로 강추할 수 있는 영화인 것 같습니다 
415	10	2020.01.09 09:14	평은 처음 남겨봐요. 마지막 항공전투씬 보는데 4D인줄... 제가 넘 빨려들어가서 봤거든요. 연출도 대단 에드스크레인도 대단하네욤 !
416	10	2020.01.05 10:51	시간가는 줄 모르고 봤습니다. 재미있습니다.
417	10	2020.01.04 18:47	진짜 근래나온 전쟁영화중에 제일볼만하다. 고증 완벽 연기완벽 연출완벽 영화관에서본것이 행운이다.
418	10	2020.01.04 14:03	과장없는 실화. 오히려 실제 전쟁이 영화보다 더 극적반전이었다. 미국산 어뢰는 90%가 불발이었고, 일본의 제로기가 더 속도가 빨랐으며, 유리창 서리제거 기능조차 없어서 뿌연화면속에서 감으로 항공모함 격추시킨게 실화! 
419	10	2020.01.04 06:09	분명히 러닝타임 내내 한장면도 빠짐없이 집중해서 다 봤는데 다시 영화관가서 또 보고 싶은 영화는 미드웨이가 처음이다..
420	10	2020.01.03 08:56	백두산 128분 = 미드웨이 1분 1분도 많다 미드웨이 한 30초 보는게 백두산 128분 다 보는거보다 뜻 깊다
421	10	2020.01.03 00:30	"뭣도 모르고 ""백두산"" 봤다가 역겨워서 체했는데 , "" 미드웨이 "" 가 진정시켜주는걸 뛰어넘어 감동을 줬음"
422	10	2020.01.02 08:55	재미쓰요 엠청나게진짜 나아
423	10	2020.01.01 14:02	백두산 같은 쓰레기를 미드웨이라는 명품에 비비나 우리나란 영화 그만 만들어라.
424	8	2019.12.31 19:40	백두산 같은 쓰레기를 미드웨이라는 명품에 비비나 우리나란 영화 그만 만들어라.
425	10	2020.01.08 08:10	암호 해독할때 긴장감이 조금 있었음 좋았겠지만그래도 엄청 재밌었어요
426	10	2020.01.04 23:10	전형적인 미국 국뽕영화랑 거리가멉니다 각 나라의 군인으로서의 정신 중립으로 보여준게 너무 재밌었고..와 전투연출...손에땀쥠 &gt;&gt;32 전쟁영화인생중에서 헌터킬러였나?? 그게 거의최고였는데 이게 다 씹어먹음..심지어 실화..너무너무 잘만듬 ㅋㅋ 
427	10	2020.01.04 21:36	백두산과 비교불가!!남편 고등학생 딸아이와 봤어요간만에 영화다운영화!!베스트!!
428	10	2020.01.04 03:18	백두산 내리고 미드웨이 상영관 늘려라
429	9	2020.05.01 00:28	마이클베이의 진주만과 비교를 초반에는 하였지만 더욱 수작이다. 롤랜드의 진가가 더욱 돋보인 영화
430	9	2020.04.13 09:16	지금의 천조국이 일본에게 언더독의 상황이었다니 놀랍다. 불을 향해 뛰어드는 불나방같은 파일럿들의 용맹함에 경의를 표한다. 미국의 경우 군인이 매우 존경받는 직업이지만 한국에선 군바리 그 이상도 이하도 아닌 취급을 받는다. 전세계 유일한 분단국가인 우리나라를 지켜내고있는 우리군인들에게도 존경은 아닐지라도 예의와 예우를 다했으면... 
431	9	2020.02.29 13:21	역사적인 배경을 알고 보면 참 재밌는 영화인데 한국에서는 흥행에 실패했군요. 역사적인 사실을 바탕으로 철저하게 고증하여 만든 영화로 미드웨이 해전을 시간대별로 잘 구현해낸 영화였어오.
432	10	2020.01.26 04:46	진짜 최고의 영화다  인정! 인정!
433	10	2020.01.25 11:07	일본것들 죽일때 속이 시원하더라ㅋㅋㅋ
434	10	2020.01.24 15:40	흑인 몇명 섞어주고, 조종사에 &#39;여자&#39; 몇명 넣고, 지휘관에 &#39;당당하고 주체성이 강한 걸크러쉬 뿜뿜 언냐&#39; 넣고, 권력에 찌든 기득권을 &#39;민주주의ㅋㅋ&#39;로 정의구현하는 장면 넣었으면 씹론가들 평점 훨씬 좋았을거라 10점 드립니다. 
435	10	2020.01.16 20:10	대한민국 안보의 중요성을 잊지 않을래
436	8	2020.01.16 07:53	시동..백두산...등  영화보다  났다   천만 가야하는 영화다...몇번을 봐도   감동과  미국이란  나라  대단하다는걸 느꼈다
437	9	2020.01.15 14:06	방금 평촌CGV G5석 에서 관람~2시간 20분이 순삭, 백두산 같은 허접영화(이것도 같은 극장서 봤음)에 800만이 몰리고 이런 영화를 100만도 안본다는 사실에 놀람 ㅠㅠ
438	8	2020.01.10 15:31	기대없이 봤는데 생각보다 재밌음
